dataset,N,k,z,epsilon,t_star,t_star_over_z
covertype,1000,50,200,0.1,949.0,4.745
covertype,5000,10,500,1.0,500.0,1.0
covertype,5000,10,500,0.5,,
covertype,5000,10,500,0.25,,
covertype,5000,10,500,0.1,,
covertype,5000,10,1000,1.0,1000.0,1.0
covertype,5000,10,1000,0.5,,
covertype,5000,10,1000,0.25,,
covertype,5000,10,1000,0.1,,
covertype,5000,20,500,1.0,500.0,1.0
covertype,5000,20,500,0.5,,
covertype,5000,20,500,0.25,,
covertype,5000,20,500,0.1,,
covertype,5000,20,1000,1.0,1000.0,1.0
covertype,5000,20,1000,0.5,,
covertype,5000,20,1000,0.25,,
covertype,5000,20,1000,0.1,,
covertype,5000,50,500,1.0,500.0,1.0
covertype,5000,50,500,0.5,,
covertype,5000,50,500,0.25,,
covertype,5000,50,500,0.1,,
covertype,5000,50,1000,1.0,1000.0,1.0
covertype,5000,50,1000,0.5,,
covertype,5000,50,1000,0.25,,
covertype,5000,50,1000,0.1,,
