dataset,N,k,outlier_percent,z,LP_Radius,LP_Time,OC_Local_radius,OC_Local_time,OC_Forward_radius,OC_Forward_time,DingRKC_radius,DingRKC_time,gonzalez_radius,gonzalez_time
covertype,500,20,0.2,100,2.1007351875305176,97.4,2.3282801166255838,0.146,2.3750182489962217,0.056,2.4601898931103405,1.54,2.5472633838653564,0.001
covertype,500,20,0.1,50,2.3700637817382812,170.62,2.7647868287737283,0.067,2.779619397343819,0.025,2.8287236217889284,0.667,2.879589319229126,0.001
covertype,500,50,0.2,100,1.6908211708068848,48.72,1.9701094311380531,0.764,2.0020212438346667,0.148,2.026905126474413,2.922,2.1038784980773926,0.003
covertype,500,10,0.2,100,2.466235399246216,258.71,2.707647484224421,0.053,2.7294145825982086,0.025,2.7699427581339062,0.611,2.8015542030334473,0.001
diabetes,500,10,0.1,50,2.339961528778076,598.94,2.64722104421541,0.028,2.681194943543913,0.011,2.788424109812889,0.224,3.1938533782958984,0.001
covertype,500,10,0.1,50,2.7746942043304443,470.94,3.1749737779220917,0.025,3.1749737779220917,0.013,3.19045830560429,0.26,3.289787530899048,0.007
diabetes,600,20,0.2,120,1.727558970451355,250.01,1.9699282373628944,0.558,1.999009042438034,0.067,2.0561550567756006,1.543,2.114746570587158,0.001
diabetes,600,50,0.2,120,1.430427074432373,113.25,1.6364589220340364,0.584,1.6507729788606167,0.125,1.7065178339209695,3.027,1.6560767889022827,0.003
diabetes,600,10,0.2,120,1.9965521097183228,390.41,2.2311945596144254,0.277,2.3104153124155506,0.052,2.3373972024789182,0.893,2.4293923377990723,0.006
diabetes,600,50,0.1,60,1.6311346292495728,164.91,1.9447549120808285,0.455,1.9720104808352206,0.261,1.9598910717311684,2.431,2.005230665206909,0.023
diabetes,600,20,0.1,60,2.0031588077545166,508.91,2.3405831231770375,0.163,2.356990359039161,0.029,2.401551084917794,0.755,2.4637928009033203,0.002
covertype,600,20,0.2,120,2.0981876850128174,207.4,2.4111825253941213,0.229,2.416021944690194,0.077,2.508898240328982,2.105,2.577838659286499,0.002
covertype,600,50,0.1,60,1.941664457321167,116.42,2.293991453633017,0.442,2.3633974304670984,0.111,2.30221294153545,2.151,2.364590883255005,0.003
covertype,600,50,0.2,120,1.7497566938400269,69.4,1.9675083320055005,1.034,2.0010034764806073,0.167,2.0659680598430588,3.571,2.1097898483276367,0.004
covertype,600,10,0.2,120,2.477107286453247,512.27,2.6885011644045766,0.306,2.7339108937586705,0.031,2.8819519738021393,1.031,3.01519513130188,0.001
covertype,600,10,0.1,60,2.799288749694824,596.25,3.148576546855883,0.059,3.1729228416158115,0.043,3.313358717304087,0.5,3.239978075027466,0.001
covertype,600,20,0.1,60,2.3837568759918213,574.54,2.7824335820511705,0.077,2.8081463043729027,0.031,2.835114931529926,0.919,2.9046671390533447,0.002
diabetes,800,50,0.1,80,1.6913870573043823,538.47,1.9898184456651127,0.752,2.032135873465696,0.164,2.067038764724149,3.114,2.0537500381469727,0.013
diabetes,800,50,0.2,160,1.4586769342422485,336.53,1.6502526967386508,4.657,1.7202018185929666,0.389,1.7114064159272504,6.881,1.7736974954605103,0.003
diabetes,600,10,0.1,60,2.358677625656128,803.91,2.752494329293915,0.043,2.752494329293915,0.031,2.8069860546491925,0.503,2.97599196434021,0.001
diabetes,800,20,0.2,160,1.7644524574279785,959.05,2.0192379101854674,0.645,2.0385399202049954,0.138,2.1309640582065073,2.859,2.1690518856048584,0.002
diabetes,800,20,0.1,80,2.070133924484253,1130.19,2.419454180496027,0.212,2.443048853619761,0.058,2.458849852452581,1.307,2.5305252075195312,0.002
covertype,800,50,0.2,160,1.7585622072219849,163.62,2.0023030137223374,3.989,2.0525609116070185,0.39,2.0965372983457784,6.308,2.129441976547241,0.007
covertype,800,50,0.1,80,1.9582440853118896,468.31,2.313435330724867,0.819,2.326316926107881,0.188,2.353301403783145,3.339,2.326714038848877,0.005
covertype,800,20,0.2,160,2.143279552459717,713.77,2.3470625539816883,2.147,2.403332839858113,0.148,2.5058685677855963,3.599,2.660611867904663,0.002
