N,k,z,local_radius,local_time,opt_radius,opt_time,gap
250,5,2,3.8283605567805066,0.00037789344787597656,3.8283605567805066,0.0,1.0
250,5,2,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
250,5,2,3.8283605567805066,0.0018618106842041016,3.8283605567805066,0.0,1.0
250,10,0,3.49714783528042,0.0011038780212402344,3.49714783528042,0.0,1.0
250,10,0,3.49714783528042,0.0009093284606933594,3.49714783528042,0.0,1.0
250,10,0,3.49714783528042,0.0,3.49714783528042,0.0,1.0
250,10,1,3.423441492105022,0.0,3.423441492105022,0.0,1.0
250,10,1,3.423441492105022,0.0,3.423441492105022,0.0021581649780273438,1.0
250,10,1,3.423441492105022,0.0,3.423441492105022,0.0005567073822021484,1.0
250,10,1,3.423441492105022,0.0,3.423441492105022,0.0,1.0
250,10,2,3.269035600940606,0.0015025138854980469,3.269035600940606,0.0,1.0
250,10,2,3.269035600940606,0.0,3.269035600940606,0.003511667251586914,1.0
250,10,2,3.269035600940606,0.0,3.269035600940606,0.0020034313201904297,1.0
300,5,0,4.542505027044174,0.0,4.542505027044174,0.0,1.0
300,5,0,4.542505027044174,0.0,4.542505027044174,0.0,1.0
300,5,0,4.542505027044174,0.0,4.542505027044174,0.0,1.0
300,5,1,4.438159507155088,0.0,4.438159507155088,0.0,1.0
300,5,1,4.438159507155088,0.0,4.438159507155088,0.0,1.0
300,5,1,4.438159507155088,0.0,4.438159507155088,0.0,1.0
300,5,2,4.064806754066659,0.0,4.064806754066659,0.0,1.0
300,5,2,4.064806754066659,0.0,4.064806754066659,0.0,1.0
300,5,2,4.064806754066659,0.0,4.064806754066659,0.0,1.0
300,5,3,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
300,10,0,3.6336687436481694,0.0,3.6336687436481694,0.0,1.0
300,10,0,3.6336687436481694,0.0,3.6336687436481694,0.0,1.0
300,10,0,3.6336687436481694,0.0,3.6336687436481694,0.0,1.0
300,10,1,3.49714783528042,0.0,3.49714783528042,0.0,1.0
300,10,1,3.49714783528042,0.0,3.49714783528042,0.0,1.0
300,10,1,3.49714783528042,0.009660005569458008,3.49714783528042,0.0,1.0
300,10,2,3.423441492105022,0.0,3.423441492105022,0.0,1.0
300,10,2,3.423441492105022,0.0,3.423441492105022,0.004024028778076172,1.0
300,10,2,3.423441492105022,0.0,3.423441492105022,0.002701997756958008,1.0
300,10,3,3.269035600940606,0.0,3.269035600940606,0.0,1.0
350,5,0,4.542505027044174,0.0,4.542505027044174,0.0,1.0
350,5,0,4.542505027044174,0.0008540153503417969,4.542505027044174,0.0,1.0
350,5,1,4.438159507155088,0.0,4.438159507155088,0.0,1.0
350,5,1,4.438159507155088,0.0,4.438159507155088,0.0,1.0
350,5,1,4.438159507155088,0.0,4.438159507155088,0.0,1.0
350,5,2,4.064806754066659,0.0,4.064806754066659,0.0,1.0
350,5,2,4.064806754066659,0.0,4.064806754066659,0.0,1.0
350,5,2,4.064806754066659,0.0,4.064806754066659,0.0,1.0
350,5,3,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
350,5,3,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
350,10,0,3.6336687436481694,0.0,3.6336687436481694,0.0,1.0
350,10,0,3.6336687436481694,0.0,3.6336687436481694,0.0,1.0
350,10,1,3.49714783528042,0.0030126571655273438,3.49714783528042,0.0,1.0
350,10,1,3.49714783528042,0.0008552074432373047,3.49714783528042,0.0,1.0
350,10,1,3.49714783528042,0.0,3.49714783528042,0.0,1.0
350,10,2,3.423441492105022,0.0,3.423441492105022,0.0032875537872314453,1.0
350,10,2,3.423441492105022,0.0010058879852294922,3.423441492105022,0.0,1.0
350,10,2,3.423441492105022,0.0,3.423441492105022,0.0,1.0
350,10,3,3.305049506035801,0.0,3.305049506035801,0.012065887451171875,1.0
350,10,3,3.305049506035801,0.0,3.305049506035801,0.008942604064941406,1.0
400,5,0,5.459295755196552,0.0,5.459295755196552,0.0,1.0
400,5,0,5.459295755196552,0.0,5.459295755196552,0.0,1.0
400,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
400,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
400,5,2,4.438159507155088,0.0,4.438159507155088,0.003410816192626953,1.0
400,5,2,4.438159507155088,0.0,4.438159507155088,0.0,1.0
400,5,2,4.438159507155088,0.0,4.438159507155088,0.0,1.0
400,5,3,4.301958812434207,0.0,4.301958812434207,0.0,1.0
400,5,3,4.301958812434207,0.0,4.301958812434207,0.0,1.0
400,5,4,3.917728919553684,0.0,3.917728919553684,0.007718086242675781,1.0
400,10,0,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
400,10,0,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
400,10,1,3.8007924622117617,0.0,3.8007924622117617,0.0027418136596679688,1.0
400,10,1,3.8007924622117617,0.0,3.8007924622117617,0.0,1.0
400,10,2,3.6798386929634175,0.0,3.6798386929634175,0.0,1.0
400,10,2,3.6798386929634175,0.0,3.6798386929634175,0.005487203598022461,1.0
400,10,2,3.6798386929634175,0.0,3.6798386929634175,0.0,1.0
400,10,3,3.6336687436481694,0.0,3.6336687436481694,0.007634162902832031,1.0
400,10,3,3.6336687436481694,0.0,3.6336687436481694,0.013148784637451172,1.0
400,10,4,3.49714783528042,0.002002239227294922,3.49714783528042,0.01981830596923828,1.0
450,5,0,5.459295755196552,0.0,5.459295755196552,0.0,1.0
450,5,0,5.459295755196552,0.0,5.459295755196552,0.0,1.0
450,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
450,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
450,5,2,4.438159507155088,0.0,4.438159507155088,0.0,1.0
450,5,2,4.438159507155088,0.0,4.438159507155088,0.0,1.0
450,5,3,4.301958812434207,0.014019250869750977,4.301958812434207,0.0009586811065673828,1.0
450,5,3,4.301958812434207,0.0,4.301958812434207,0.0,1.0
450,5,4,3.917728919553684,0.0,3.917728919553684,0.0069446563720703125,1.0
450,5,4,3.917728919553684,0.0,3.917728919553684,0.0037751197814941406,1.0
450,10,0,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
450,10,0,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
450,10,1,3.8007924622117617,0.0,3.8007924622117617,0.0,1.0
450,10,1,3.8007924622117617,0.0,3.8007924622117617,0.0,1.0
450,10,2,3.7312595786972986,0.0,3.7312595786972986,0.0047876834869384766,1.0
450,10,2,3.7312595786972986,0.0005803108215332031,3.7312595786972986,0.0,1.0
450,10,3,3.6798386929634175,0.0,3.6798386929634175,0.011158943176269531,1.0
450,10,3,3.6798386929634175,0.0,3.6798386929634175,0.009906291961669922,1.0
450,10,4,3.6336687436481694,0.0,3.6336687436481694,0.0323793888092041,1.0
450,10,4,3.6336687436481694,0.0,3.6336687436481694,0.036214590072631836,1.0
500,5,0,5.459295755196552,0.0,5.459295755196552,0.0,1.0
500,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
500,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
500,5,2,4.438159507155088,0.0,4.438159507155088,0.0037381649017333984,1.0
500,5,2,4.438159507155088,0.0004680156707763672,4.438159507155088,0.0,1.0
500,5,3,4.301958812434207,0.0,4.301958812434207,0.0,1.0
500,5,3,4.301958812434207,0.0,4.301958812434207,0.0,1.0
500,5,4,4.11937928163703,0.0,4.11937928163703,0.0056803226470947266,1.0
500,5,4,4.11937928163703,0.0027353763580322266,4.11937928163703,0.0032396316528320312,1.0
500,5,5,4.0848898503134325,0.0,4.0848898503134325,0.00870513916015625,1.0
500,10,0,3.917728919553684,0.0,3.917728919553684,0.0,1.0
500,10,1,3.8283605567805066,0.0009739398956298828,3.8283605567805066,0.0,1.0
500,10,1,3.8283605567805066,0.0,3.8283605567805066,0.0,1.0
500,10,2,3.8007924622117617,0.0,3.8007924622117617,0.0033180713653564453,1.0
500,10,2,3.8007924622117617,0.0,3.8007924622117617,0.0016167163848876953,1.0
500,10,3,3.7312595786972986,0.0,3.7312595786972986,0.01209402084350586,1.0
500,10,3,3.7312595786972986,0.0,3.7312595786972986,0.010039567947387695,1.0
500,10,4,3.6798386929634175,0.000751495361328125,3.6798386929634175,0.029252290725708008,1.0
500,10,4,3.6798386929634175,0.0,3.6798386929634175,0.039049386978149414,1.0
500,10,5,3.4273725311742416,0.0,3.4273725311742416,0.10312676429748535,1.0
550,5,0,5.459295755196552,0.0,5.459295755196552,0.0,1.0
550,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
550,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
550,5,2,4.438159507155088,0.0,4.438159507155088,0.0006163120269775391,1.0
550,5,2,4.438159507155088,0.0,4.438159507155088,0.0,1.0
550,5,3,4.301958812434207,0.0,4.301958812434207,0.0,1.0
550,5,3,4.301958812434207,0.0,4.301958812434207,0.0,1.0
550,5,4,4.11937928163703,0.0,4.11937928163703,0.009143590927124023,1.0
550,5,4,4.11937928163703,0.0009829998016357422,4.11937928163703,0.0005037784576416016,1.0
550,5,5,4.0848898503134325,0.0,4.0848898503134325,0.010626077651977539,1.0
550,10,0,3.917728919553684,0.0011785030364990234,3.917728919553684,0.0,1.0
550,10,1,3.8283605567805066,0.0011188983917236328,3.8283605567805066,0.0,1.0
550,10,1,3.8283605567805066,0.0020406246185302734,3.8283605567805066,0.0,1.0
550,10,2,3.8007924622117617,0.0012602806091308594,3.8007924622117617,0.0017807483673095703,1.0
550,10,2,3.8007924622117617,0.0,3.8007924622117617,0.0,1.0
550,10,3,3.7312595786972986,0.0,3.7312595786972986,0.015668153762817383,1.0
550,10,3,3.7312595786972986,0.0,3.7312595786972986,0.010280609130859375,1.0
550,10,4,3.6798386929634175,0.0,3.6798386929634175,0.03824114799499512,1.0
550,10,4,3.6798386929634175,0.0,3.6798386929634175,0.034752845764160156,1.0
550,10,5,3.4273725311742416,0.0005102157592773438,3.4273725311742416,0.09801769256591797,1.0
600,5,0,5.459295755196552,0.0,5.459295755196552,0.0,1.0
600,5,1,5.1983281052275405,0.0,5.1983281052275405,0.0,1.0
