N,k,outlier_pct,z,LP_Radius,OverclusterDRG_radius,OC_LP,gonzalez_radius,Gonz_LP,charikar_radius,Char3_LP,SimplifiedDRG_radius,Simp_LP,OverclusterDRG_time,gonzalez_time,charikar_time,SimplifiedDRG_time,D_kz1,LB,cert_ratio
5000,10,0.1,500,1.821315348,2.049192428588867,1.1251167629148355,2.291372,1.258086361879162,2.047209,3.3720832621018464,2.2464897632598877,1.233443602024644,0.8743212223052979,0.001589,4.3124,0.0031323432922363,0.9902884759768462,0.4951442379884231,4.1385767446551185
5000,10,0.2,1000,1.499017291,1.6597108840942385,1.1071992925358716,1.793847,1.1966819934433965,1.657443,3.3170591359109283,1.9701908826828003,1.3143216522662515,1.7400398254394531,0.001826,5.8135,0.0030610561370849,0.6640354963093413,0.3320177481546706,4.998861938311386
5000,20,0.1,500,1.498401844,1.7145898342132568,1.1442790470920274,1.842888,1.22990238391618,1.696536,3.396690961360029,1.9380102157592771,1.2933848309914902,1.8291277885437012,0.004375,7.3616,0.0062818527221679,0.979061007565103,0.4895305037825515,3.5025188848596747
5000,20,0.2,1000,1.232265063,1.379342794418335,1.1193555963197301,1.475967,1.1977674644176777,1.369305,3.333629365421683,1.510536789894104,1.2258213230655424,3.6210100650787354,0.003595,9.4376,0.0061628818511962,0.6597824768229779,0.3298912384114889,4.181204693583936
5000,50,0.1,500,1.157118612,1.3671164512634275,1.1814834167263635,1.476463,1.2759824141520246,1.386,3.593408624560262,1.5016247034072876,1.2977275517259483,4.813239812850952,0.008816,12.8055,0.0161306858062744,0.9571266734083832,0.4785633367041916,2.8567095437744867
5000,50,0.2,1000,0.938812787,1.0621551275253296,1.1313811893417782,1.147963,1.2227815980951269,1.0799,3.4508477567210636,1.218000888824463,1.2973842130086612,9.400820970535278,0.008715,20.2415,0.0164189338684082,0.6494046510724358,0.3247023255362179,3.2711657539602523
10000,10,0.1,1000,1.842761,2.0540692806243896,1.1146693904550777,2.375994,1.2893663367088841,2.086899,3.3974546889151656,2.414816379547119,1.3104338433183245,3.599609136581421,0.002228,17.0375,0.0065369606018066,0.8413142272071784,0.4206571136035892,4.883001414211348
10000,10,0.2,2000,1.500199163,1.6690576076507568,1.1125573515939609,1.809641,1.2062671708076402,1.677009,3.3535727282631473,1.938413143157959,1.2921038692500317,7.191810607910156,0.002571,21.6553,0.00661301612854,0.5651951047843601,0.28259755239218,5.906129028798136
10000,20,0.1,1000,1.518918293,1.7356728315353394,1.142703224745045,2.021746,1.3310432887123045,1.745952,3.4484119548358088,1.9522935152053833,1.285318324364524,7.5460851192474365,0.004741,28.2295,0.0137789249420166,0.8381543933239823,0.4190771966619911,4.141654199656335
10000,20,0.2,2000,1.232119913,1.3606152534484863,1.1042880153893644,1.482378,1.2031117948501169,1.382541,3.3662494666620977,1.5919196605682373,1.2920168270734191,14.922019958496094,0.006014,37.7078,0.0137319564819335,0.5636955314745843,0.2818477657372921,4.827482843049053
10000,50,0.1,1000,1.181366098,1.3598947525024414,1.1511205161589473,1.522736,1.2889619928808893,1.367,3.4714048481184703,1.58092200756073,1.3382151479013662,19.39849328994751,0.013837,58.5536,0.0338149070739746,0.8279250958975646,0.4139625479487823,3.2850671135367904
10000,50,0.2,2000,0.942809407,1.0631093978881836,1.1275973595458446,1.179058,1.2505793761135011,1.0741,3.4177639468546372,1.2261732816696167,1.3005526594937937,38.4520788192749,0.01432,87.2888,0.0340700149536132,0.5575739211519471,0.2787869605759736,3.813339747640279
20000,10,0.1,2000,1.792315,2.0057618618011475,1.1190900381914715,2.333395,1.301888897877884,2.013654,3.370480077441744,2.459397554397583,1.3721904656255082,14.929970979690552,0.003416,76.7774,0.0144062042236328,0.6924398682468623,0.3462199341234311,5.79331709157472
20000,10,0.2,4000,1.468204,1.6653740406036377,1.1342933547406475,1.926569,1.3121943544630037,1.647786,3.3669421960436012,1.779657006263733,1.2121319695789774,29.75226879119873,0.003668,97.7382,0.0146102905273437,0.4751360696598516,0.2375680348299258,7.010093095209014
20000,20,0.1,2000,1.472006,1.706629991531372,1.1593906489045371,1.938769,1.317093136848627,1.728363,3.522464582345453,2.0052242279052734,1.3622391674390413,30.929296016693115,0.006879,120.549,0.0289416313171386,0.6911841564636753,0.3455920782318376,4.9382786789067925
20000,20,0.2,4000,1.221534,1.360135555267334,1.1134651636936295,1.553954,1.272133235751113,1.367316,3.358030148976615,1.5649659633636477,1.2811481001459213,61.82617402076721,0.007683,168.0604,0.0288100242614746,0.4744571211496594,0.2372285605748297,5.733439312583538
20000,50,0.1,2000,1.110284,1.3467292785644531,1.2129592775942488,1.52091,1.369838707934186,1.365,3.688245529972511,1.5106849670410156,1.3606293228048099,79.46609115600586,0.018169,362.7796,0.0740852355957031,0.6863725414350932,0.3431862707175466,3.9241933418509474
20000,50,0.2,4000,0.950262412,1.0599356889724731,1.1154136747781551,1.20183,1.2647348614689813,1.072,3.3843283280366143,1.1953574419021606,1.2579235238678057,158.10770893096924,0.018965,564.3467,0.0732722282409668,0.47277515648566,0.23638757824283,4.483889114865631
