voronoi_cv,sparsity_ratio,density_cv,z_over_k,eff_dim,z_over_N,separation,d,N,k,z,dataset,opt_O,opt_r,knee_O,opt_over_z,knee_over_z,r_at_O20,r_at_Oz,gap_O20_vs_opt,r_O1,r_O5,r_O10,r_O20,r_O30,r_O50,r_O75,r_O100,r_O150,r_O200,r_O300,r_O500,r_O750,r_O1000,r_O1500,r_O2000
2.7886,5.3856,0.6819,100.0,5,0.2,2.8153,6,5000,10,1000,adult,500,1.609364,500,0.5,0.5,2.175824,1.651035,35.2,2.58962,2.514231,2.397034,2.175824,2.092969,1.963452,1.930439,1.847822,1.790643,1.729111,1.679998,1.609364,1.655718,1.651035,1.62116,1.626797
3.649,4.405,0.6819,25.0,5,0.1,2.2614,6,5000,20,500,adult,1500,1.65811,750,3.0,1.5,2.231912,1.697263,34.61,2.677006,2.571489,2.38017,2.231912,2.087896,2.018898,1.933259,1.832342,1.794935,1.728982,1.717444,1.697263,1.683804,1.698503,1.65811,
3.649,5.3955,0.6819,50.0,5,0.2,2.2614,6,5000,20,1000,adult,1500,1.363214,500,1.5,0.5,2.003925,1.371091,47.0,2.343395,2.273056,2.134616,2.003925,1.877221,1.796998,1.715715,1.568272,1.464263,1.4576,1.414437,1.372275,1.38429,1.371091,1.363214,1.363265
4.0109,4.4825,0.6819,10.0,5,0.1,1.9083,6,5000,50,500,adult,1500,1.315463,1000,3.0,2.0,1.854407,1.364563,40.97,1.996011,1.954324,1.903352,1.854407,1.786257,1.704287,1.583299,1.498689,1.408046,1.382649,1.374583,1.364563,1.349893,1.331082,1.315463,
4.0109,5.4395,0.6819,20.0,5,0.2,1.9083,6,5000,50,1000,adult,2000,1.051858,1000,2.0,1.0,1.726164,1.05711,64.11,1.841898,1.808283,1.764136,1.726164,1.647589,1.562348,1.440585,1.360461,1.235495,1.147726,1.118444,1.085422,1.08224,1.05711,1.052547,1.051858
2.2744,3.3408,0.4542,5.0,6,0.1,2.1328,8,500,10,50,diabetes,150,2.050771,75,3.0,1.5,2.259223,2.11263,10.16,2.7414,2.562147,2.402866,2.259223,2.211573,2.11263,2.066596,2.057277,2.050771,,,,,,,
2.2744,3.8501,0.4542,10.0,6,0.2,2.1328,8,500,10,100,diabetes,300,1.709052,200,3.0,2.0,2.014452,1.793122,17.87,2.375381,2.235897,2.172698,2.014452,1.997152,1.892948,1.831233,1.793122,1.750903,1.734291,1.709052,,,,,
2.5946,3.459,0.4542,2.5,6,0.1,1.6877,8,500,20,50,diabetes,100,1.773767,75,2.0,1.5,1.978032,1.885177,11.52,2.231749,2.060816,2.018587,1.978032,1.899457,1.885177,1.79781,1.773767,1.785185,,,,,,,
2.5946,3.9553,0.4542,5.0,6,0.2,1.6877,8,500,20,100,diabetes,300,1.465065,300,3.0,3.0,1.832686,1.55165,25.09,2.029311,1.920112,1.888073,1.832686,1.715763,1.626304,1.588914,1.55165,1.525424,1.529195,1.465065,,,,,
1.6755,3.762,0.4542,1.0,6,0.1,1.6616,8,500,50,50,diabetes,50,1.449957,50,1.0,1.0,1.523192,1.449957,5.05,1.682409,1.633201,1.580344,1.523192,1.482766,1.449957,1.478554,1.470476,1.451152,,,,,,,
1.6755,4.1621,0.4542,2.0,6,0.2,1.6616,8,500,50,100,diabetes,300,1.1861,300,3.0,3.0,1.411938,1.271051,19.04,1.549443,1.521549,1.465581,1.411938,1.374659,1.324573,1.273637,1.271051,1.255244,1.221385,1.1861,,,,,
2.5348,3.6495,0.518,10.0,6,0.1,1.8413,8,1000,10,100,diabetes,300,2.015793,300,3.0,3.0,2.344249,2.124385,16.29,2.856968,2.645576,2.530676,2.344249,2.32039,2.187492,2.169744,2.124385,2.090006,2.070749,2.015793,,,,,
2.5348,4.254,0.518,20.0,6,0.2,1.8413,8,1000,10,200,diabetes,300,1.7535,300,1.5,1.5,2.151364,1.817542,22.69,2.578487,2.400506,2.312083,2.151364,2.099194,1.888206,1.883016,1.864154,1.843025,1.817542,1.7535,1.783437,,,,
2.7991,3.7165,0.518,5.0,6,0.1,1.6507,8,1000,20,100,diabetes,200,1.766616,200,2.0,2.0,2.136343,1.83484,20.93,2.461898,2.342313,2.240465,2.136343,1.913832,1.895829,1.871229,1.83484,1.843452,1.766616,1.775431,,,,,
2.7991,4.2829,0.518,10.0,6,0.2,1.6507,8,1000,20,200,diabetes,500,1.508275,300,2.5,1.5,1.953202,1.572128,29.5,2.261419,2.149827,2.093599,1.953202,1.770102,1.719302,1.681921,1.639934,1.62441,1.572128,1.523313,1.508275,,,,
2.0019,3.9148,0.518,2.0,6,0.1,1.6627,8,1000,50,100,diabetes,300,1.486837,300,3.0,3.0,1.699518,1.551383,14.3,1.802677,1.785476,1.767916,1.699518,1.652413,1.59048,1.578232,1.551383,1.533837,1.520018,1.486837,,,,,
2.0019,4.4367,0.518,4.0,6,0.2,1.6627,8,1000,50,200,diabetes,500,1.243211,300,2.5,1.5,1.578232,1.312725,26.95,1.694789,1.678915,1.646845,1.578232,1.551327,1.458033,1.396947,1.372416,1.337131,1.312725,1.263552,1.243211,,,,
2.6702,3.3799,0.4685,20.0,6,0.1,2.0995,8,2000,10,200,diabetes,300,2.090698,300,1.5,1.5,2.537692,2.187629,21.38,2.957935,2.752733,2.644135,2.537692,2.464492,2.374763,2.322246,2.243536,2.191979,2.187629,2.090698,2.13901,,,,
2.6702,3.8549,0.4685,40.0,6,0.2,2.0995,8,2000,10,400,diabetes,1000,1.766471,500,2.5,1.25,2.309332,1.827456,30.73,2.637352,2.468367,2.427035,2.309332,2.197306,2.139347,2.016425,1.963286,1.926358,1.898437,1.827456,1.768178,1.798924,1.766471,,
3.2025,3.4046,0.4685,10.0,6,0.1,1.8058,8,2000,20,200,diabetes,500,1.836242,300,2.5,1.5,2.242167,1.902782,22.11,2.599274,2.477865,2.440799,2.242167,2.209047,2.055025,2.033409,1.960556,1.933242,1.902782,1.837818,1.836242,,,,
3.2025,3.8739,0.4685,20.0,6,0.2,1.8058,8,2000,20,400,diabetes,1000,1.559981,750,2.5,1.875,2.083413,1.61133,33.55,2.392509,2.273321,2.235523,2.083413,2.039617,1.81316,1.758662,1.722993,1.674752,1.640803,1.61133,1.599058,1.578232,1.559981,,
3.0539,3.4736,0.4685,4.0,6,0.1,1.6008,8,2000,50,200,diabetes,500,1.538395,300,2.5,1.5,1.836581,1.595802,19.38,2.106285,2.075408,2.052069,1.836581,1.81144,1.717784,1.641693,1.630351,1.596162,1.595802,1.550089,1.538395,,,,
3.0539,3.9322,0.4685,8.0,6,0.2,1.6008,8,2000,50,400,diabetes,1000,1.298143,1000,2.5,2.5,1.721539,1.353101,32.62,1.965373,1.929499,1.899636,1.721539,1.682097,1.584136,1.495598,1.463904,1.399459,1.381691,1.353101,1.328633,1.324368,1.298143,,
2.9116,5.2061,0.5007,50.0,6,0.1,2.305,8,5000,10,500,diabetes,750,2.17864,500,1.5,1.0,2.729684,2.217265,25.29,3.282939,3.184813,2.867885,2.729684,2.664064,2.555762,2.488178,2.396687,2.309669,2.281433,2.24054,2.217265,2.17864,2.198987,2.210483,
2.9116,6.1113,0.5007,100.0,6,0.2,2.305,8,5000,10,1000,diabetes,1500,1.857438,500,1.5,0.5,2.485731,1.876005,33.83,2.837265,2.78713,2.588948,2.485731,2.40835,2.316682,2.198203,2.137058,2.06624,1.994438,1.959017,1.885223,1.866332,1.876005,1.857438,1.860747
3.6379,5.2356,0.5007,25.0,6,0.1,2.0893,8,5000,20,500,diabetes,1000,1.892738,500,2.0,1.0,2.522376,1.91877,33.27,2.849921,2.780799,2.656367,2.522376,2.387737,2.316284,2.158815,2.133458,2.057058,1.993296,1.961928,1.91877,1.911154,1.892738,1.901042,
3.6379,6.1188,0.5007,50.0,6,0.2,2.0893,8,5000,20,1000,diabetes,2000,1.622992,750,2.0,0.75,2.323813,1.644927,43.18,2.577191,2.526364,2.450561,2.323813,2.20884,2.117775,1.982362,1.933372,1.820106,1.744218,1.711752,1.662739,1.634282,1.644927,1.635052,1.622992
3.7345,5.2858,0.5007,10.0,6,0.1,1.6658,8,5000,50,500,diabetes,1000,1.587629,750,2.0,1.5,2.207048,1.64068,39.02,2.334235,2.302783,2.260478,2.207048,2.064256,2.002236,1.909752,1.836089,1.717784,1.688298,1.66309,1.64068,1.598491,1.587629,1.594094,
3.7345,6.1575,0.5007,20.0,6,0.2,1.6658,8,5000,50,1000,diabetes,2000,1.361977,750,2.0,0.75,2.060768,1.366184,51.31,2.173844,2.146088,2.114204,2.060768,1.928235,1.884019,1.792904,1.696035,1.538071,1.490179,1.434998,1.405687,1.383088,1.366184,1.372709,1.361977
1.296,1.7339,0.2855,5.0,7,0.1,1.6792,10,500,10,50,covertype,100,3.178385,100,2.0,2.0,3.436876,3.311117,8.13,3.648373,3.644206,3.510954,3.436876,3.39488,3.311117,3.246241,3.178385,3.202308,,,,,,,
1.296,1.8765,0.2855,10.0,7,0.2,1.6792,10,500,10,100,covertype,300,2.641166,200,3.0,2.0,3.138282,2.810582,18.82,3.370703,3.343598,3.240418,3.138282,3.085269,2.999077,2.939737,2.810582,2.801125,2.646163,2.641166,,,,,
1.5101,1.7524,0.2855,2.5,7,0.1,1.6284,10,500,20,50,covertype,150,2.724677,100,3.0,2.0,2.971624,2.874539,9.06,3.235766,3.126497,3.068216,2.971624,2.953348,2.874539,2.790576,2.767547,2.724677,,,,,,,
