N,k,outlier_pct,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,SimplifiedDRG_radius,SimplifiedDRG_time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time,OC_LP,Fwd_LP,Char_LP,Gonz_LP,Simp_LP,Ding_LP,D_kz1,LB,cert_ratio,cert_tight
2000,20,0.1,200,1.731,1.0305,1.950309,0.001827,1.458563794,493.5404,1.8700029850006104,0.0024187564849853,1.6961653232574463,0.082637071609497,1.6674973964691162,0.1043882369995117,1.8331743478775024,0.0473811626434326,1.1432461187701168,1.1629010196433316,1.1867838809112796,1.3371434338510668,1.28208515300676,1.2568352206591948,1.1646142687662662,0.5823071343831331,2.863604613458118,0.3992332298241136
2000,20,0.2,400,1.396,1.2248,1.586505,0.002078,1.207354204,194.2452,1.535022258758545,0.0023419857025146,1.3324377536773682,0.1693599224090576,1.3246159553527832,0.1820681095123291,1.4857722520828247,0.0472540855407714,1.0971229080615212,1.1036013700560803,1.1562472680966454,1.3140344355814244,1.2713934764735741,1.230601796192383,0.8314097936365492,0.4157048968182746,3.1864333701410286,0.3443106384531002
2000,50,0.1,200,1.372,2.0759,1.48046,0.005439,1.107394906,140.128,1.4751161336898804,0.005821943283081,1.36298930644989,0.2044019699096679,1.3548812866210938,0.2557258605957031,1.4150056838989258,0.1201741695404052,1.22348520774313,1.2308069136538813,1.238943752193854,1.3368853260735518,1.332059706702209,1.2777787546540564,1.089761843213681,0.5448809216068405,2.4865640048941002,0.49203849381517795
2000,50,0.2,400,1.0544,2.8832,1.195763,0.004711,0.908636899,101.5067,1.1339404582977295,0.0058560371398925,1.0425019264221191,0.4122669696807861,1.0404537916183472,0.5146369934082031,1.1119760274887085,0.1541728973388672,1.145071031963833,1.1473251059575549,1.160419526392137,1.315996523271283,1.247957748079224,1.2237848019516853,0.7907300897480302,0.3953650448740151,2.6316281752978252,0.4351188525461974
5000,10,0.1,500,2.047209,4.3124,2.291372,0.001589,1.821315348,23263.1275,2.2464897632598877,0.0030117034912109,2.049192428588867,0.1837399005889892,2.0245110988616943,0.2869851589202881,2.17037582,2.79438,1.1115653865679138,1.1251167629148355,1.124027754033949,1.258086361879162,1.233443602024644,1.1916529569595435,0.9902884759768462,0.4951442379884231,4.088729997316517,0.2718607947449324
5000,10,0.2,1000,1.657443,5.8135,1.793847,0.001826,1.499017291,8075.7852,1.9701908826828003,0.0030651092529296,1.6597108840942385,0.4647977352142334,1.6510354280471802,0.5118007659912109,1.80533302,5.745972,1.1014118635988304,1.1071992925358716,1.105686378636976,1.1966819934433965,1.3143216522662515,1.204344360027799,0.6640354963093413,0.3320177481546706,4.972732443441682,0.221490272425864
5000,20,0.1,500,1.696536,7.3616,1.842888,0.004375,1.498401844,192307.7601,1.9380102157592771,0.006317138671875,1.7145898342132568,0.3133292198181152,1.697263240814209,0.4371528625488281,1.87054753,5.214548,1.1327156647667667,1.1442790470920274,1.132230320453343,1.22990238391618,1.2933848309914902,1.2483617378676959,0.979061007565103,0.4895305037825515,3.467124576915293,0.3267017494290747
5000,20,0.2,1000,1.369305,9.4376,1.475967,0.003595,1.232265063,188272.5529,1.510536789894104,0.0060720443725585,1.379342794418335,0.8574368953704834,1.37109112739563,1.2875230312347412,1.46489561,11.383227,1.112659255353432,1.1193555963197301,1.1112097884738943,1.1977674644176777,1.2258213230655424,1.1887828795808357,0.6597824768229779,0.3298912384114889,4.15619139810377,0.2677112646595328
5000,50,0.1,500,1.386,12.8055,1.476463,0.008816,1.157118612,186606.0143,1.5016247034072876,0.0159249305725097,1.3671164512634275,0.7860429286956787,1.364563226699829,0.8896999359130859,1.45225036,13.166246,1.1792768801300977,1.1814834167263635,1.1978028748534206,1.2759824141520246,1.2977275517259483,1.2550574720165333,0.9571266734083832,0.4785633367041916,2.851374357462092,0.41358191955535806
5000,50,0.2,1000,1.0799,20.2415,1.147963,0.008715,0.938812787,185766.3631,1.218000888824463,0.0164809226989746,1.0621551275253296,2.459220170974731,1.0571097135543823,2.8485708236694336,1.19608986,28.965675,1.1260069400337027,1.1313811893417782,1.150282585573688,1.2227815980951269,1.2973842130086612,1.2740451307892124,0.6494046510724358,0.3247023255362179,3.2556271711594817,0.3458648305950459
