dataset,N,k,z,knee_O,O,D_kO1,rho_O,radius_at_O,radius_at_Oz
adult,2000,10,400,300,10,3.7374680511564624,4.415076152206191,2.348567,
adult,2000,10,400,300,20,2.9995204959929285,3.5433376897534488,2.078845,
adult,2000,10,400,300,30,2.6444740703033487,3.1239208584836615,2.035494,
adult,2000,10,400,300,50,2.1825026694066114,2.5781934068551835,1.864313,
adult,2000,10,400,300,75,1.9343129345108394,2.285006531472626,1.858735,
adult,2000,10,400,300,100,1.7019093195294392,2.0104678212692315,1.77176,
adult,2000,10,400,300,150,1.3623765444705862,1.6093772868388743,1.625418,
adult,2000,10,400,300,200,1.1889819036106994,1.4045459589713456,1.621317,
adult,2000,10,400,300,300,0.9704775748616488,1.1464264947219454,1.618837,
adult,2000,10,400,300,500,0.709666061852391,0.83832949548427,1.589049,
adult,2000,10,400,300,750,0.5444792065345873,0.6431940359728763,1.607515,
adult,2000,10,400,300,1000,0.43212249895340393,0.5104669026857855,1.607873,
adult,2000,10,400,300,1500,0.21066523332833167,0.248859130041011,,
adult,2000,10,400,300,2000,,,,
adult,2000,20,200,200,1,3.556612086771694,3.0538970560092746,2.544437,
adult,2000,20,200,200,5,3.261757577486343,2.8007192295022154,2.437292,
adult,2000,20,200,200,10,2.9995204959929285,2.5755484682241354,2.26818,
adult,2000,20,200,200,20,2.6444740703033487,2.270686648124938,2.095567,
adult,2000,20,200,200,30,2.476026201817612,2.1260483133532184,1.940335,
adult,2000,20,200,200,50,2.0423836514596507,1.7536996636862858,1.882004,
adult,2000,20,200,200,75,1.8100555200830366,1.5542103240762442,1.840786,
adult,2000,20,200,200,100,1.6190649051609802,1.390215583461927,1.78105,
adult,2000,20,200,200,150,1.328314445287093,1.1405617129302756,1.737127,
adult,2000,20,200,200,200,1.1646142687662662,1.0,1.667497,
adult,2000,20,200,200,300,0.9602546194100182,0.8245258925320087,1.666319,
adult,2000,20,200,200,500,0.6975093910750358,0.5989188092414,1.661032,
adult,2000,20,200,200,750,0.5381685493313447,0.46210025393339327,,
adult,2000,20,200,200,1000,0.42858926639945505,0.36800963022158484,,
adult,2000,20,200,200,1500,0.208024115534596,0.17862061380629166,,
adult,2000,20,200,200,2000,,,,
adult,2000,20,400,500,1,3.556612086771694,4.277808746051971,2.264927,
adult,2000,20,400,500,5,3.261757577486343,3.923164728694813,2.162693,
adult,2000,20,400,500,10,2.9995204959929285,3.6077521806342454,2.006504,
adult,2000,20,400,500,20,2.6444740703033487,3.1807107524395852,1.916665,
adult,2000,20,400,500,30,2.476026201817612,2.9781056475021592,1.724408,
adult,2000,20,400,500,50,2.0423836514596507,2.456530662847206,1.608876,
adult,2000,20,400,500,75,1.8100555200830366,2.177091891311425,1.574571,
adult,2000,20,400,500,100,1.6190649051609802,1.9473729050980537,1.483334,
adult,2000,20,400,500,150,1.328314445287093,1.5976651411298695,1.388698,
adult,2000,20,400,500,200,1.1646142687662662,1.4007704475939542,1.369568,
adult,2000,20,400,500,300,0.9602546194100182,1.1549715035348664,1.354469,
adult,2000,20,400,500,500,0.6975093910750358,0.8389477684935139,1.329182,
adult,2000,20,400,500,750,0.5381685493313447,0.6472963795355592,1.324596,
adult,2000,20,400,500,1000,0.42858926639945505,0.515497014444375,1.306476,
adult,2000,20,400,500,1500,0.208024115534596,0.250206477150946,,
adult,2000,20,400,500,2000,,,,
adult,2000,50,200,300,1,2.4053268456796264,2.2072041342412727,1.789616,
adult,2000,50,200,300,5,2.251364253508414,2.0659231808568337,1.760103,
adult,2000,50,200,300,10,2.1825026694066114,2.002733609180575,1.680011,
adult,2000,50,200,300,20,2.0423836514596507,1.8741559581832221,1.628898,
adult,2000,50,200,300,30,1.9665563582831243,1.8045744311287295,1.59463,
adult,2000,50,200,300,50,1.7751118668265482,1.6288988992235098,1.517166,
adult,2000,50,200,300,75,1.577167137639917,1.4472585431959057,1.419173,
adult,2000,50,200,300,100,1.401880393195428,1.286409871960021,1.35863,
adult,2000,50,200,300,150,1.2079110802805484,1.1084174838774388,1.359117,
adult,2000,50,200,300,200,1.089761843213681,1.0,1.354881,
adult,2000,50,200,300,300,0.923169782839366,0.8471298463864002,1.306717,
adult,2000,50,200,300,500,0.6707151497270222,0.6154694751920288,1.281331,
adult,2000,50,200,300,750,0.5236983752618516,0.48056222423559797,,
adult,2000,50,200,300,1000,0.4199478629209987,0.3853574664374215,,
adult,2000,50,200,300,1500,0.19156944808230392,0.17579019606464683,,
adult,2000,50,200,300,2000,,,,
adult,2000,50,400,750,1,2.4053268456796264,3.041906305154133,1.628685,
adult,2000,50,400,750,5,2.251364253508414,2.847196891452331,1.610167,
adult,2000,50,400,750,10,2.1825026694066114,2.7601108111392043,1.549282,
adult,2000,50,400,750,20,2.0423836514596507,2.5829087294635085,1.511847,
adult,2000,50,400,750,30,1.9665563582831243,2.487013437050026,1.486352,
adult,2000,50,400,750,50,1.7751118668265482,2.2449023881109618,1.385568,
adult,2000,50,400,750,75,1.577167137639917,1.9945707872865805,1.302401,
adult,2000,50,400,750,100,1.401880393195428,1.7728936983315555,1.168675,
adult,2000,50,400,750,150,1.2079110802805484,1.5275896237431092,1.092456,
adult,2000,50,400,750,200,1.089761843213681,1.3781717141445051,1.065506,
adult,2000,50,400,750,300,0.923169782839366,1.1674903924973166,1.070164,
adult,2000,50,400,750,500,0.6707151497270222,0.8482226216290172,1.055343,
adult,2000,50,400,750,750,0.5236983752618516,0.6622972643278701,1.026497,
adult,2000,50,400,750,1000,0.4199478629209987,0.5310887600784449,1.010343,
adult,2000,50,400,750,1500,0.19156944808230392,0.24226907584021296,,
adult,2000,50,400,750,2000,,,,
adult,5000,10,500,300,1,5.003324188688917,5.05239060138866,3.10868,
adult,5000,10,500,300,5,4.674590552460515,4.7204331524199326,2.939058,
adult,5000,10,500,300,10,4.000398085426627,4.039629039892169,2.797311,
adult,5000,10,500,300,20,3.377507017400104,3.410629427014632,2.494583,
adult,5000,10,500,300,30,3.0933194899557095,3.1236549399450286,2.443664,
adult,5000,10,500,300,50,2.486172495773562,2.5105537993069516,2.348493,
adult,5000,10,500,300,75,2.1558009794988955,2.1769424079911235,2.304773,
adult,5000,10,500,300,100,1.9857848015483828,2.0052589217394994,2.21214,
adult,5000,10,500,300,150,1.7026660054159826,1.7193636467761868,2.118703,
adult,5000,10,500,300,200,1.4915338976234103,1.5061610165180632,2.032809,
adult,5000,10,500,300,300,1.244380426461587,1.256583769930371,1.982497,
adult,5000,10,500,300,500,0.9902884759768462,1.0,2.024511,
adult,5000,10,500,300,750,0.811586525758348,0.8195455621734646,2.034787,
adult,5000,10,500,300,1000,0.6640354963093413,0.6705475348022398,2.008093,
adult,5000,10,500,300,1500,0.5143233914640958,0.5193672388813309,1.98821,
adult,5000,10,500,300,2000,0.423401433733269,0.42755363109281347,,
adult,5000,10,1000,500,1,5.003324188688917,7.5347239966794115,2.58962,
adult,5000,10,1000,500,5,4.674590552460515,7.039669683987578,2.514231,
adult,5000,10,1000,500,10,4.000398085426627,6.024373859018885,2.397034,
adult,5000,10,1000,500,20,3.377507017400104,5.086335047105209,2.175824,
adult,5000,10,1000,500,30,3.0933194899557095,4.658364661449792,2.092969,
adult,5000,10,1000,500,50,2.486172495773562,3.7440355366415186,1.963452,
adult,5000,10,1000,500,75,2.1558009794988955,3.2465146689908493,1.930439,
adult,5000,10,1000,500,100,1.9857848015483828,2.990479895405025,1.847822,
adult,5000,10,1000,500,150,1.7026660054159826,2.564118958819627,1.790643,
adult,5000,10,1000,500,200,1.4915338976234103,2.246165914191699,1.729111,
adult,5000,10,1000,500,300,1.244380426461587,1.873966728251364,1.679998,
adult,5000,10,1000,500,500,0.9902884759768462,1.4913185838419694,1.609364,
adult,5000,10,1000,500,750,0.811586525758348,1.222203527174502,1.655718,
adult,5000,10,1000,500,1000,0.6640354963093413,1.0,1.651035,
adult,5000,10,1000,500,1500,0.5143233914640958,0.7745420151824202,1.62116,
adult,5000,10,1000,500,2000,0.423401433733269,0.6376186756378264,1.626797,
adult,5000,20,500,750,1,3.9900552017608035,4.075389757052993,2.677006,
adult,5000,20,500,750,5,3.619927557610075,3.697346263041087,2.571489,
adult,5000,20,500,750,10,3.377507017400104,3.4497411206272717,2.38017,
adult,5000,20,500,750,20,3.0933194899557095,3.1594757283294403,2.231912,
adult,5000,20,500,750,30,2.7714690321543896,2.8307419157126428,2.087896,
adult,5000,20,500,750,50,2.3432695827222436,2.393384645712619,2.018898,
adult,5000,20,500,750,75,2.1017490245015082,2.1466987330324785,1.933259,
adult,5000,20,500,750,100,1.9027543822397364,1.943448230025862,1.832342,
adult,5000,20,500,750,150,1.6602129857830694,1.6957196466356803,1.794935,
adult,5000,20,500,750,200,1.4660826576839405,1.4974374899579002,1.728982,
adult,5000,20,500,750,300,1.2278727863453545,1.2541330691935524,1.717444,
adult,5000,20,500,750,500,0.979061007565103,1.0,1.697263,
adult,5000,20,500,750,750,0.8045595453890362,0.8217665080850814,1.683804,
adult,5000,20,500,750,1000,0.6597824768229779,0.6738931197595524,1.698503,
adult,5000,20,500,750,1500,0.512615707655246,0.5235789227579462,1.65811,
adult,5000,20,500,750,2000,0.422369594335709,0.4314027328962168,,
adult,5000,20,1000,500,1,3.9900552017608035,6.047531333317527,2.343395,
adult,5000,20,1000,500,5,3.619927557610075,5.486546982940433,2.273056,
adult,5000,20,1000,500,10,3.377507017400104,5.119122038014208,2.134616,
adult,5000,20,1000,500,20,3.0933194899557095,4.688392915269344,2.003925,
adult,5000,20,1000,500,30,2.7714690321543896,4.200579932798041,1.877221,
adult,5000,20,1000,500,50,2.3432695827222436,3.551578990102448,1.796998,
adult,5000,20,1000,500,75,2.1017490245015082,3.185518103818049,1.715715,
adult,5000,20,1000,500,100,1.9027543822397364,2.8839116664661777,1.568272,
adult,5000,20,1000,500,150,1.6602129857830694,2.516303545643439,1.464263,
adult,5000,20,1000,500,200,1.4660826576839405,2.222069711131925,1.4576,
adult,5000,20,1000,500,300,1.2278727863453545,1.8610266708777679,1.414437,
adult,5000,20,1000,500,500,0.979061007565103,1.4839148385382002,1.372275,
adult,5000,20,1000,500,750,0.8045595453890362,1.219431515161174,1.38429,
adult,5000,20,1000,500,1000,0.6597824768229779,1.0,1.371091,
adult,5000,20,1000,500,1500,0.512615707655246,0.7769465326263625,1.363214,
adult,5000,20,1000,500,2000,0.422369594335709,0.6401649167306278,1.363265,
adult,5000,50,500,1000,1,2.739625673340389,2.8623438772053276,1.996011,
adult,5000,50,500,1000,5,2.61567613432097,2.7328421691628306,1.954324,
adult,5000,50,500,1000,10,2.486172495773562,2.5975375724512606,1.903352,
adult,5000,50,500,1000,20,2.3432695827222436,2.448233497012183,1.854407,
adult,5000,50,500,1000,30,2.1966997799647334,2.295098277997163,1.786257,
adult,5000,50,500,1000,50,2.066683740478005,2.1592583279686743,1.704287,
adult,5000,50,500,1000,75,1.8645446870253215,1.9480647011806393,1.583299,
adult,5000,50,500,1000,100,1.7589854396989235,1.8377770556065218,1.498689,
adult,5000,50,500,1000,150,1.533562161750721,1.602256215773005,1.408046,
adult,5000,50,500,1000,200,1.3812700848342492,1.4431424002796482,1.382649,
adult,5000,50,500,1000,300,1.1800599524119395,1.232919304411064,1.374583,
adult,5000,50,500,1000,500,0.9571266734083833,1.0000000000000002,1.364563,
adult,5000,50,500,1000,750,0.7855408598662006,0.8207282083873437,1.349893,
adult,5000,50,500,1000,1000,0.6494046510724358,0.6784939435026593,1.331082,
adult,5000,50,500,1000,1500,0.506138247410303,0.5288100953324345,1.315463,
adult,5000,50,500,1000,2000,0.4197184254378524,0.43851920241989595,,
adult,5000,50,1000,1000,1,2.739625673340389,4.218672700936363,1.841898,
adult,5000,50,1000,1000,5,2.61567613432097,4.027806283803798,1.808283,
adult,5000,50,1000,1000,10,2.486172495773562,3.828387264655192,1.764136,
adult,5000,50,1000,1000,20,2.3432695827222436,3.608335078679427,1.726164,
adult,5000,50,1000,1000,30,2.1966997799647334,3.3826363521374123,1.647589,
adult,5000,50,1000,1000,50,2.066683740478005,3.1824283011602317,1.562348,
adult,5000,50,1000,1000,75,1.8645446870253215,2.871160044736647,1.440585,
adult,5000,50,1000,1000,100,1.7589854396989235,2.708612321753641,1.360461,
adult,5000,50,1000,1000,150,1.533562161750721,2.3614893413808713,1.235495,
adult,5000,50,1000,1000,200,1.3812700848342492,2.1269790454275324,1.147726,
adult,5000,50,1000,1000,300,1.1800599524119395,1.8171412084332506,1.118444,
adult,5000,50,1000,1000,500,0.9571266734083833,1.4738525075663857,1.085422,
adult,5000,50,1000,1000,750,0.7855408598662006,1.2096323279621535,1.08224,
adult,5000,50,1000,1000,1000,0.6494046510724358,1.0,1.05711,
adult,5000,50,1000,1000,1500,0.506138247410303,0.779388085032128,1.052547,
adult,5000,50,1000,1000,2000,0.4197184254378524,0.646312626102575,1.051858,
diabetes,500,10,50,75,1,3.7421957470793807,2.0398153759562168,2.7414,
diabetes,500,10,50,75,5,3.021753076673109,1.647112766068264,2.562147,
diabetes,500,10,50,75,10,2.8215121016331195,1.537964381700125,2.402866,
diabetes,500,10,50,75,20,2.4115699629718734,1.3145110045361412,2.259223,
diabetes,500,10,50,75,30,2.1177754295659756,1.1543679636273512,2.211573,
diabetes,500,10,50,75,50,1.834575712679452,1.0,2.11263,
diabetes,500,10,50,75,75,1.5494431881260162,0.844578491591938,2.066596,
diabetes,500,10,50,75,100,1.4042213714565785,0.765420234090896,2.057277,
diabetes,500,10,50,75,150,1.1237759385646255,0.6125535898015992,2.050771,
diabetes,500,10,50,75,200,0.9945295689849413,0.5421033114694414,,
diabetes,500,10,50,75,300,0.7406796221153065,0.4037334719936535,,
diabetes,500,10,50,75,500,,,,
diabetes,500,10,50,75,750,,,,
diabetes,500,10,50,75,1000,,,,
diabetes,500,10,50,75,1500,,,,
diabetes,500,10,50,75,2000,,,,
diabetes,500,10,100,200,1,3.7421957470793807,2.6649613965052077,2.375381,
diabetes,500,10,100,200,5,3.021753076673109,2.151906485754941,2.235897,
diabetes,500,10,100,200,10,2.8215121016331195,2.0093071925734947,2.172698,
diabetes,500,10,100,200,20,2.4115699629718734,1.7173716423859773,2.014452,
diabetes,500,10,100,200,30,2.1177754295659756,1.5081492652182313,1.997152,
