dataset,N,k,z,knee_O,O,D_kO1,rho_O,radius_at_O,radius_at_Oz
covertype,1000,20,100,200,150,2.0719767187075036,0.8743157594144274,2.873889,
covertype,1000,20,100,200,200,1.8685715851750666,0.7884845277275472,2.769053,
covertype,1000,20,100,200,300,1.575136806729416,0.6646633241209006,2.77536,
covertype,1000,20,100,200,500,1.2014768219703336,0.5069893452640274,,
covertype,1000,20,100,200,750,0.8270212192559983,0.34897963806114035,,
covertype,1000,20,100,200,1000,,,,
covertype,1000,20,100,200,1500,,,,
covertype,1000,20,100,200,2000,,,,
covertype,1000,20,200,300,1,4.185419433113391,2.2399031786204002,3.316477,
covertype,1000,20,200,300,5,4.12142963795833,2.205657878272934,3.231256,
covertype,1000,20,200,300,10,3.882509597345281,2.077795481933077,3.088128,
covertype,1000,20,200,300,20,3.5274918519309533,1.8878012915948643,2.837917,
covertype,1000,20,200,300,30,3.282190583680429,1.7565238654600008,2.769609,
covertype,1000,20,200,300,50,2.9910913985696492,1.6007368528454926,2.718196,
covertype,1000,20,200,300,75,2.621155534293015,1.4027589604213313,2.699437,
covertype,1000,20,200,300,100,2.369826571689854,1.2682557042457783,2.622649,
covertype,1000,20,200,300,150,2.0719767187075036,1.108855949189327,2.60059,
covertype,1000,20,200,300,200,1.8685715851750666,1.0000000000000002,2.494323,
covertype,1000,20,200,300,300,1.575136806729416,0.8429630522192927,2.447631,
covertype,1000,20,200,300,500,1.2014768219703336,0.642992129122935,2.438329,
covertype,1000,20,200,300,750,0.8270212192559983,0.4425954166366683,,
covertype,1000,20,200,300,1000,,,,
covertype,1000,20,200,300,1500,,,,
covertype,1000,20,200,300,2000,,,,
covertype,1000,50,100,300,1,3.2671773374209625,1.5060519461447135,2.769609,
covertype,1000,50,100,300,5,3.1502939865524984,1.452172900146457,2.735445,
covertype,1000,50,100,300,10,3.0772262077047503,1.4184912663784568,2.685236,
covertype,1000,50,100,300,20,2.9910913985696492,1.3787861988135834,2.640386,
covertype,1000,50,100,300,30,2.811794490157861,1.2961367341645478,2.523771,
covertype,1000,50,100,300,50,2.5123496468888242,1.1581033670121161,2.465553,
covertype,1000,50,100,300,75,2.35041797301737,1.0834586546534395,2.442979,
covertype,1000,50,100,300,100,2.1693656356173427,1.0,2.406001,
covertype,1000,50,100,300,150,1.9172321088738573,0.8837754583165345,2.404335,
covertype,1000,50,100,300,200,1.7473973979640136,0.8054877284283853,2.322313,
covertype,1000,50,100,300,300,1.5143545459976144,0.6980633052973895,2.257596,
covertype,1000,50,100,300,500,1.1577020059298457,0.5336592351802397,,
covertype,1000,50,100,300,750,0.7719790970708456,0.3558547643588727,,
covertype,1000,50,100,300,1000,,,,
covertype,1000,50,100,300,1500,,,,
covertype,1000,50,100,300,2000,,,,
covertype,1000,50,200,300,1,3.2671773374209625,1.8697391567755142,2.637561,
covertype,1000,50,200,300,5,3.1502939865524984,1.8028491917311282,2.589848,
covertype,1000,50,200,300,10,3.0772262077047503,1.7610339876265075,2.508887,
covertype,1000,50,200,300,20,2.9910913985696492,1.7117407877880155,2.465633,
covertype,1000,50,200,300,30,2.811794490157861,1.6091328128530082,2.335998,
covertype,1000,50,200,300,50,2.5123496468888242,1.4377666178375323,2.226876,
covertype,1000,50,200,300,75,2.35041797301737,1.345096413532473,2.141673,
covertype,1000,50,200,300,100,2.1693656356173427,1.2414838422816623,2.092575,
covertype,1000,50,200,300,150,1.9172321088738573,1.0971929517050485,2.119595,
covertype,1000,50,200,300,200,1.7473973979640136,1.0,2.069433,
covertype,1000,50,200,300,300,1.5143545459976144,0.8666343144164402,1.971259,
covertype,1000,50,200,300,500,1.1577020059298457,0.6625293177606573,1.981134,
covertype,1000,50,200,300,750,0.7719790970708456,0.44178794015048883,,
covertype,1000,50,200,300,1000,,,,
covertype,1000,50,200,300,1500,,,,
covertype,1000,50,200,300,2000,,,,
covertype,5000,10,500,500,1,5.2241202626588095,3.3257796537851116,3.767941,
covertype,5000,10,500,500,5,4.670359917375248,2.973244720280391,3.670267,
covertype,5000,10,500,500,10,4.410100560637817,2.807558398024092,3.447191,
covertype,5000,10,500,500,20,3.976454784186823,2.531490806207867,3.283294,
covertype,5000,10,500,500,30,3.726833118708382,2.3725766513929027,3.267886,
covertype,5000,10,500,500,50,3.2220399236923214,2.0512151870802198,3.189629,
covertype,5000,10,500,500,75,2.9664778145173867,1.88851922675793,3.132202,
covertype,5000,10,500,500,100,2.6961039425277114,1.7163938013909585,3.045431,
covertype,5000,10,500,500,150,2.341319847772499,1.4905311365787728,2.988709,
covertype,5000,10,500,500,200,2.1617752482399384,1.3762294463323697,2.962714,
covertype,5000,10,500,500,300,1.8741546373042943,1.1931244013171602,2.857318,
covertype,5000,10,500,500,500,1.5707956649242147,1.0,2.79329,
covertype,5000,10,500,500,750,1.3365870926188943,0.8508981291868919,2.753538,
covertype,5000,10,500,500,1000,1.177102554720513,0.7493670761927548,2.791933,
covertype,5000,10,500,500,1500,0.9653067256001975,0.6145336068563507,2.772763,
covertype,5000,10,500,500,2000,0.8274383270760431,0.5267638213885472,,
covertype,5000,10,1000,1000,1,5.2241202626588095,4.4381181925981,3.442458,
covertype,5000,10,1000,1000,5,4.670359917375248,3.9676746079989282,3.353508,
covertype,5000,10,1000,1000,10,4.410100560637817,3.7465729242979475,3.173257,
covertype,5000,10,1000,1000,20,3.976454784186823,3.3781719088452564,3.011785,
covertype,5000,10,1000,1000,30,3.726833118708382,3.1661074081971283,2.98188,
covertype,5000,10,1000,1000,50,3.2220399236923214,2.7372635551346254,2.858922,
covertype,5000,10,1000,1000,75,2.9664778145173867,2.5201523882698025,2.805224,
covertype,5000,10,1000,1000,100,2.6961039425277114,2.2904579823699938,2.70779,
covertype,5000,10,1000,1000,150,2.341319847772499,1.9890534077792512,2.636569,
covertype,5000,10,1000,1000,200,2.1617752482399384,1.8365224334707375,2.599785,
covertype,5000,10,1000,1000,300,1.8741546373042943,1.592176170027332,2.494466,
covertype,5000,10,1000,1000,500,1.5707956649242147,1.3344594815675843,2.506851,
covertype,5000,10,1000,1000,750,1.3365870926188943,1.1354890763415673,2.499133,
covertype,5000,10,1000,1000,1000,1.177102554720513,1.0,2.454522,
covertype,5000,10,1000,1000,1500,0.9653067256001975,0.8200701984113835,2.424007,
covertype,5000,10,1000,1000,2000,0.8274383270760431,0.7029449759987202,2.424098,
covertype,5000,20,500,500,1,4.351683464848381,2.791278712144801,3.37006,
covertype,5000,20,500,500,5,4.211194760828002,2.701165740464643,3.231923,
covertype,5000,20,500,500,10,3.976454784186823,2.5505976430879373,3.134603,
covertype,5000,20,500,500,20,3.726833118708382,2.390484057950517,3.046897,
covertype,5000,20,500,500,30,3.4764207609490283,2.229863302990339,2.930918,
covertype,5000,20,500,500,50,3.087012108383357,1.9800868449801008,2.803788,
covertype,5000,20,500,500,75,2.7865452231523515,1.7873598630604768,2.774945,
covertype,5000,20,500,500,100,2.621841747663766,1.6817149307805574,2.69704,
covertype,5000,20,500,500,150,2.3060182525572457,1.4791378348573565,2.675014,
covertype,5000,20,500,500,200,2.134030306470825,1.3688204607803198,2.582202,
covertype,5000,20,500,500,300,1.8519765421211054,1.1879041155384886,2.50937,
covertype,5000,20,500,500,500,1.5590286437231395,1.0,2.431573,
covertype,5000,20,500,500,750,1.3324838243894352,0.8546884816736341,2.413463,
covertype,5000,20,500,500,1000,1.1706706815959214,0.7508974811394262,2.416904,
covertype,5000,20,500,500,1500,0.9623548626636207,0.6172785000058798,2.436108,
covertype,5000,20,500,500,2000,0.8251269735411452,0.5292570966307887,,
covertype,5000,20,1000,500,1,4.351683464848381,3.717256725790665,3.139314,
covertype,5000,20,1000,500,5,4.211194760828002,3.5972497022707315,3.017959,
covertype,5000,20,1000,500,10,3.976454784186823,3.3967321866862723,2.929666,
covertype,5000,20,1000,500,20,3.726833118708382,3.183502565920385,2.846468,
covertype,5000,20,1000,500,30,3.4764207609490283,2.9695975269576103,2.715286,
covertype,5000,20,1000,500,50,3.087012108383357,2.6369602971306807,2.570801,
covertype,5000,20,1000,500,75,2.7865452231523515,2.380298120521463,2.519145,
covertype,5000,20,1000,500,100,2.621841747663766,2.2396065681678556,2.419303,
covertype,5000,20,1000,500,150,2.3060182525572457,1.9698266035103547,2.334378,
covertype,5000,20,1000,500,200,2.134030306470825,1.822912574834111,2.277479,
covertype,5000,20,1000,500,300,1.8519765421211054,1.5819790921870454,2.190036,
covertype,5000,20,1000,500,500,1.5590286437231395,1.331739718293609,2.127272,
covertype,5000,20,1000,500,750,1.3324838243894352,1.138222597812838,2.142568,
covertype,5000,20,1000,500,1000,1.1706706815959214,1.0,2.111911,
covertype,5000,20,1000,500,1500,0.9623548626636207,0.8220542957065318,2.099969,
covertype,5000,20,1000,500,2000,0.8251269735411452,0.70483269677198,2.087871,
covertype,5000,50,500,750,1,3.4523352240474017,2.266126380837404,2.777316,
covertype,5000,50,500,750,5,3.2887208870768743,2.1587292883680775,2.698288,
covertype,5000,50,500,750,10,3.2220399236923214,2.1149596424852435,2.612902,
covertype,5000,50,500,750,20,3.087012108383357,2.026326854948536,2.540109,
covertype,5000,50,500,750,30,3.0098193719110267,1.9756572399845822,2.511153,
covertype,5000,50,500,750,50,2.7648073861518863,1.8148304116155758,2.42883,
covertype,5000,50,500,750,75,2.5778418077910517,1.6921054727160176,2.304944,
covertype,5000,50,500,750,100,2.41289542985382,1.5838340233319916,2.239849,
covertype,5000,50,500,750,150,2.1873963629663327,1.4358155514383895,2.202347,
covertype,5000,50,500,750,200,2.023676577297398,1.3283492420298673,2.152015,
covertype,5000,50,500,750,300,1.8074472697410993,1.1864154765164852,2.124258,
covertype,5000,50,500,750,500,1.5234522016250729,1.0,2.05264,
covertype,5000,50,500,750,750,1.3077392832861727,0.8584051943941541,2.020459,
covertype,5000,50,500,750,1000,1.1520793834573655,0.7562294256612958,2.028553,
covertype,5000,50,500,750,1500,0.9546002471201147,0.6266033460727147,2.010065,
covertype,5000,50,500,750,2000,0.8182009912112976,0.5370703395475875,,
covertype,5000,50,1000,1000,1,3.4523352240474017,2.9966122765664096,2.610108,
covertype,5000,50,1000,1000,5,3.2887208870768743,2.854595728644578,2.542767,
covertype,5000,50,1000,1000,10,3.2220399236923214,2.796716936313059,2.450885,
covertype,5000,50,1000,1000,20,3.087012108383357,2.679513367489747,2.379808,
covertype,5000,50,1000,1000,30,3.0098193719110267,2.612510400870662,2.358139,
covertype,5000,50,1000,1000,50,2.7648073861518863,2.3998410403411254,2.279343,
covertype,5000,50,1000,1000,75,2.5778418077910517,2.2375557143076406,2.13178,
covertype,5000,50,1000,1000,100,2.41289542985382,2.0943829604977156,2.038177,
covertype,5000,50,1000,1000,150,2.1873963629663327,1.8986507304748421,1.932678,
covertype,5000,50,1000,1000,200,2.023676577297398,1.756542653531728,1.892256,
covertype,5000,50,1000,1000,300,1.8074472697410993,1.568856535143428,1.869504,
covertype,5000,50,1000,1000,500,1.5234522016250729,1.3223500250939528,1.805251,
covertype,5000,50,1000,1000,750,1.3077392832861727,1.135112130347889,1.762352,
covertype,5000,50,1000,1000,1000,1.1520793834573655,1.0,1.749598,
covertype,5000,50,1000,1000,1500,0.9546002471201147,0.8285889504032091,1.743733,
covertype,5000,50,1000,1000,2000,0.8182009912112976,0.7101949769779701,1.725413,
